PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_PRICE
Single Family Residential,Hayward,94541,1100000,2.0,2.0,1364.0,4.0,2.0,,806.0,1102078.0,7778.0,1100000.0,,
Multi-Family (5+ Unit),Hayward,94541,2700000,6.0,6.0,4080.0,2.0,4.0,3.0,662.0,,19091.0,2700000.0,,
Single Family Residential,Hayward,94541,1190000,3.0,3.0,2204.0,5.0,3.0,,540.0,1186889.0,8414.0,1190000.0,,
Vacant Land,Hayward,94541,499000,,,,5.0,2.0,,,493001.0,3528.0,,63900.0,
Condo/Co-op,Hayward,94544,838888,3.0,2.5,1735.0,3.0,2.0,2.0,484.0,843217.0,6321.0,838888.0,,712500.0
Condo/Co-op,Hayward,94544,898860,2.0,2.5,1718.0,2.0,2.0,2.0,523.0,903901.0,6815.0,,898860.0,898860.0
Single Family Residential,Hayward,94541,980000,4.0,2.0,1468.0,4.0,4.0,3.0,668.0,978561.0,6929.0,980000.0,,
Multi-Family (2-4 Unit),Hayward,94541,1485000,6.0,,2845.0,3.0,2.0,,522.0,1484247.0,10500.0,1485000.0,,
Single Family Residential,Hayward,94541,798000,3.0,2.5,1200.0,4.0,2.0,,665.0,829055.0,5642.0,798000.0,,
Multi-Family (2-4 Unit),Hayward,94541,1099000,,,1776.0,3.0,2.0,,619.0,1117834.0,7771.0,1099000.0,,
Single Family Residential,Hayward,94541,875000,4.0,2.0,1192.0,4.0,2.0,,734.0,911217.0,6187.0,875000.0,,675000.0
Single Family Residential,Hayward,94542,1849000,4.0,2.5,2560.0,5.0,2.0,,722.0,1881308.0,13074.0,1849000.0,,
Single Family Residential,Hayward,94544,898800,3.0,2.0,1606.0,2.0,2.0,2.0,560.0,899967.0,6355.0,898800.0,,800000.0
Townhouse,Hayward,94541,740000,3.0,3.0,1345.0,5.0,3.0,,550.0,753129.0,5562.0,740000.0,,
Multi-Family (2-4 Unit),Hayward,94541,1499000,8.0,,3640.0,4.0,4.0,3.0,412.0,1500752.0,10599.0,1499000.0,,614900.0
Single Family Residential,Hayward,94544,869999,3.0,2.0,1168.0,4.0,5.0,6.0,745.0,874808.0,6151.0,869999.0,,299950.0
Single Family Residential,San Lorenzo,94580,999000,5.0,2.5,2771.0,3.0,4.0,7.0,361.0,1008100.0,7077.0,999000.0,,
Single Family Residential,Hayward,94544,699900,3.0,1.0,1020.0,5.0,2.0,,686.0,704536.0,4949.0,699900.0,,194800.0
Single Family Residential,Hayward,94544,759000,3.0,1.0,927.0,4.0,5.0,2.0,819.0,760683.0,5367.0,,,
Townhouse,Hayward,94545,669000,3.0,1.5,1254.0,4.0,4.0,5.0,533.0,678887.0,4998.0,669000.0,,
Condo/Co-op,Hayward,94546,479950,2.0,2.0,936.0,3.0,2.0,,513.0,480107.0,3874.0,479950.0,,319950.0
Single Family Residential,Hayward,94544,650000,3.0,1.0,1054.0,3.0,3.0,5.0,617.0,673029.0,4596.0,,,
Condo/Co-op,Hayward,94544,499000,2.0,1.0,900.0,2.0,2.0,2.0,554.0,499312.0,4030.0,499000.0,,111900.0
